genero,municipio_de_nacimiento,pais,municipio_direccion,barrio_direccion,estrato,estado_civil,eps,zona,nivel_de_formacion,ocupacion,medio_de_transporte,estado,fecha_de_matricula,jornada,programa,periodo,nivel,edad,periodo_era_mt,anio_periodo,semestre_periodo,estrato_imputado,transporte_imputado,anio_matricula,mes_matricula,desercion
Masculino,Medellín,Colombia,Medellín,Villa Hermosa,3,Soltero(a),,Urbana,Media,Empleado,Transporte público,Inactivo,2016-01-19 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2016-2,SEMESTRE 2,27,0,2016,2,0,1,2016.0,1.0,1.0
Masculino,Medellín,Colombia,Envigado,La Mina,1,Soltero(a),,Urbana,Media,Empleado,Transporte público,Cancelado,2016-07-06 10:00:00,DIURNA,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2016-2,SEMESTRE 1,26,0,2016,2,0,1,2016.0,7.0,1.0
Femenino,Medellín,Colombia,Envigado,Zuñiga,2,Soltero(a),EPS Sura,Urbana - rural,Media,Estudiante superior,Transporte público,Graduado,2017-06-22 10:00:00,NOCHE,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2020-1,SEMESTRE 2,26,0,2020,1,0,0,2017.0,6.0,0.0
Femenino,Envigado,Colombia,Medellín,,2,Soltero(a),EPS Sura,Urbana,,Estudiante básica,Transporte público,Inactivo,2020-07-25 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2020-2,NOVENO,16,1,2020,2,0,0,2020.0,7.0,0.0
Masculino,Envigado,Colombia,Envigado,Barrio Obrero,3,Soltero(a),,Urbana,Media,Independiente,A pie,Sancionado,2019-07-17 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2019-2,SEMESTRE 1,25,0,2019,2,0,0,2019.0,7.0,1.0
Masculino,Medellín,Colombia,Medellín,,3,Soltero(a),EPS Sura,Urbana,Básica secundaria,Estudiante básica,A pie,Inactivo,2019-11-21 10:00:00,MEDIA TÉCNICA,PROYECTOS FORMATIVOS MEDIA TECNICA,2018-2,ONCE,19,1,2018,2,0,0,2019.0,11.0,1.0
Masculino,Envigado,Colombia,Envigado,Barrio Mesa,3,Soltero(a),Nueva Promotora de Salud - Nueva EPS,Urbana,Media,Estudiante superior,Transporte público,Inactivo,2015-07-23 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2015-2,SEMESTRE 1,26,0,2015,2,0,1,2015.0,7.0,1.0
Femenino,Santa Helena Del Opón,Colombia,Envigado,El Dorado,3,Casado(a),EPS Sura,Urbana,Básica secundaria,,Transporte público,Graduado,2016-01-15 10:00:00,NOCHE,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2017-2,SEMESTRE 2,47,0,2017,2,0,1,2016.0,1.0,0.0
Masculino,Medellín,Colombia,Medellín,La América,3,Soltero(a),Coomeva EPS,Urbana,Media,Estudiante superior,Bicicleta,Graduado,2016-07-12 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2017-1,SEMESTRE 2,28,0,2017,1,0,0,2016.0,7.0,0.0
Femenino,San Pedro De Urabá,Colombia,Envigado,Las Flores,2,Soltero(a),Cafesalud  EPS,Urbana,Media,Empleado,Transporte público,Sancionado,2018-06-14 10:00:00,NOCHE,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,2018-2,SEMESTRE 1,30,0,2018,2,0,0,2018.0,6.0,1.0
