genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Masculino,22,13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL,NOCHE,Sin registro,EPS Sura,Envigado,59.0,Media,Perfil 2
Masculino,24,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Estudiante superior,EPS Sura,Envigado,58.9,Media,Perfil 1
Masculino,15,MEDIA TÉCNICA TÉCNICO EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,MEDIA TÉCNICA,Sin registro,Sin registro,Envigado,58.9,Media,Perfil 2
Masculino,15,MEDIA TÉCNICA TÉCNICO EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,MEDIA TÉCNICA,Sin registro,Sin registro,Envigado,58.9,Media,Perfil 2
Masculino,16,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,MEDIA TÉCNICA,Sin registro,Sin registro,Envigado,58.9,Media,Perfil 1
Masculino,16,MEDIA TÉCNICA TÉCNICO EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,MEDIA TÉCNICA,Sin registro,Sin registro,Envigado,58.9,Media,Perfil 3
Masculino,25,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,NOCHE,Desempleado,SISBEN V2 - Nivel 1,Envigado,58.8,Media,Perfil 3
Masculino,25,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Sin registro,EPS Sura,Envigado,58.8,Media,Perfil 1
Masculino,23,20T-TÉCNICO LABORAL EN JOYERIA,DIURNA,Desempleado,EPS Sura,Envigado,58.8,Media,Perfil 2
Masculino,34,37 - TÉCNICO POR COMPETENCIAS ASISTENTE EN ENTRENAMIENTO FÍSICO Y DEPORTIVO,DIURNA,Empleado,Savia Salud,Envigado,58.8,Media,Perfil 3
Masculino,24,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,NOCHE,Estudiante superior,EPS Sura,Envigado,58.8,Media,Perfil 2
Masculino,26,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,NOCHE,Estudiante superior,Sin registro,Envigado,58.6,Media,Perfil 1
Masculino,23,14T-TÉCNICO LABORAL EN CONTABILIDAD,NOCHE,Desempleado,Salud Total EPS,Envigado,58.5,Media,Perfil 1
